datetime,locationID,car_type
2017-01-01 01:28:34,25,taxi
2017-01-01 01:28:35,112,taxi
2017-01-01 01:28:35,244,taxi
2017-01-01 01:28:35,258,taxi
2017-01-01 01:28:36,244,taxi
2017-01-01 01:28:36,74,taxi
2017-01-01 01:28:37,37,taxi
2017-01-01 01:28:37,42,taxi
2017-01-01 01:28:39,173,taxi
2017-01-01 01:28:39,181,taxi
2017-01-01 01:28:40,36,taxi
2017-01-01 01:28:41,166,taxi
2017-01-01 01:28:44,95,taxi
2017-01-01 01:28:45,256,taxi
2017-01-01 01:28:45,80,taxi
2017-01-01 01:28:46,70,taxi
2017-01-01 01:28:48,95,taxi
2017-01-01 01:28:50,226,taxi
2017-01-01 01:28:52,65,taxi
2017-01-01 01:28:53,82,taxi
2017-01-01 01:28:53,17,taxi
2017-01-01 01:28:54,17,taxi
2017-01-01 01:28:57,7,taxi
2017-01-01 01:28:58,129,taxi
2017-01-01 01:28:58,256,taxi
2017-01-01 01:28:59,17,taxi
2017-01-01 01:28:59,41,taxi
2017-01-01 01:28:59,7,taxi
2017-01-01 01:29:02,243,taxi
2017-01-01 01:29:02,49,taxi
2017-01-01 01:29:03,129,taxi
2017-01-01 01:29:04,168,taxi
2017-01-01 01:29:04,75,taxi
2017-01-01 01:29:04,36,taxi
2017-01-01 01:29:06,41,taxi
2017-01-01 01:29:06,55,taxi
2017-01-01 01:29:06,223,taxi
2017-01-01 01:29:07,145,taxi
2017-01-01 01:29:08,42,taxi
2017-01-01 01:29:10,256,taxi
2017-01-01 01:29:11,7,taxi
2017-01-01 01:29:11,41,taxi
2017-01-01 01:29:12,228,taxi
2017-01-01 01:29:14,130,taxi
2017-01-01 01:29:14,41,taxi
2017-01-01 01:29:14,61,taxi
2017-01-01 01:29:15,95,taxi
2017-01-01 01:29:15,264,taxi
2017-01-01 01:29:16,7,taxi
2017-01-01 01:29:16,256,taxi
2017-01-01 01:29:16,41,taxi
2017-01-01 01:29:18,42,taxi
2017-01-01 01:29:19,226,taxi
2017-01-01 01:29:24,74,taxi
2017-01-01 01:29:24,49,taxi
2017-01-01 01:29:26,75,taxi
2017-01-01 01:29:26,17,taxi
2017-01-01 01:29:27,129,taxi
2017-01-01 01:29:28,260,taxi
2017-01-01 01:29:28,181,taxi
2017-01-01 01:29:29,41,taxi
2017-01-01 01:29:32,49,taxi
2017-01-01 01:29:33,82,taxi
2017-01-01 01:29:33,61,taxi
2017-01-01 01:29:34,7,taxi
2017-01-01 01:29:37,42,taxi
2017-01-01 01:29:37,95,taxi
2017-01-01 01:29:38,134,taxi
2017-01-01 01:29:38,75,taxi
2017-01-01 01:29:39,223,taxi
2017-01-01 01:29:40,179,taxi
2017-01-01 01:29:40,173,taxi
2017-01-01 01:29:43,61,taxi
2017-01-01 01:29:43,112,taxi
2017-01-01 01:29:45,42,taxi
2017-01-01 01:29:46,75,taxi
2017-01-01 01:29:46,112,taxi
2017-01-01 01:29:47,82,taxi
2017-01-01 01:29:48,181,taxi
2017-01-01 01:29:53,256,taxi
2017-01-01 01:29:54,112,taxi
2017-01-01 01:29:55,85,taxi
2017-01-01 01:29:55,130,taxi
2017-01-01 01:29:55,82,taxi
2017-01-01 01:29:55,159,taxi
2017-01-01 01:29:56,256,taxi
2017-01-01 01:29:57,216,taxi
2017-01-01 01:29:58,256,taxi
2017-01-01 01:30:01,223,taxi
2017-01-01 01:30:02,188,taxi
