LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
106,Brooklyn,Gowanus,Boro Zone,40.6791695,-73.9885041,"(40.6791695, -73.9885041)",40.68,-74.0,dr5rkm
107,Manhattan,Gramercy,Yellow Zone,40.737930299999995,-73.985925,"(40.7379303, -73.985925)",40.74,-74.0,dr5ru2
108,Brooklyn,Gravesend,Boro Zone,40.5952468,-73.9729643108133,"(40.5952468, -73.9729643108133)",40.6,-74.0,dr5quw
109,Staten Island,Great Kills,Boro Zone,40.5542718,-74.1515318,"(40.5542718, -74.1515318)",40.55,-74.2,dr5q8w
110,Staten Island,Great Kills Park,Boro Zone,40.54708575,-74.1276982134664,"(40.54708575, -74.1276982134664)",40.55,-74.1,dr5q9j
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.65221185,-73.99100068037829,"(40.65221185, -73.9910006803783)",40.65,-74.0,dr5rk2
112,Brooklyn,Greenpoint,Boro Zone,40.723713399999994,-73.9509714,"(40.7237134, -73.9509714)",40.72,-74.0,dr5rtj
113,Manhattan,Greenwich Village North,Yellow Zone,40.7335844,-74.0028172,"(40.7335844, -74.0028172)",40.73,-74.0,dr5rsp
114,Manhattan,Greenwich Village South,Yellow Zone,40.7335844,-74.0028172,"(40.7335844, -74.0028172)",40.73,-74.0,dr5rsp
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.620104100000006,-74.07708570000001,"(40.6201041, -74.0770857)",40.62,-74.1,dr5r46
116,Manhattan,Hamilton Heights,Boro Zone,40.8241451,-73.9500618,"(40.8241451, -73.9500618)",40.82,-74.0,dr72jp
117,Queens,Hammels/Arverne,Boro Zone,40.5934173,-73.7895462,"(40.5934173, -73.7895462)",40.59,-73.8,dr5wbv
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.5834557,-74.14960479999999,"(40.5834557, -74.1496048)",40.58,-74.2,dr5qbe
119,Bronx,Highbridge,Boro Zone,40.83653245,-73.9295956392864,"(40.83653245, -73.9295956392864)",40.84,-73.9,dr72md
120,Manhattan,Highbridge Park,Boro Zone,40.84606425,-73.9297059291312,"(40.84606425, -73.9297059291312)",40.84,-73.9,dr72me
121,Queens,Hillcrest/Pomonok,Boro Zone,40.732447799999996,-73.8088309397965,"(40.7324478, -73.8088309397965)",40.73,-73.8,dr5x8r
122,Queens,Hollis,Boro Zone,40.7101715,-73.7666684,"(40.7101715, -73.7666684)",40.71,-73.8,dr5x97
123,Brooklyn,Homecrest,Boro Zone,40.5861178,-73.9573067992795,"(40.5861178, -73.9573067992795)",40.59,-74.0,dr5qvh
124,Queens,Howard Beach,Boro Zone,40.6578815,-73.83624590000001,"(40.6578815, -73.8362459)",40.66,-73.8,dr5rrc
125,Manhattan,Hudson Sq,Yellow Zone,40.7902778,-73.9597222,"(40.7902778, -73.9597222)",40.79,-74.0,dr72j1
126,Bronx,Hunts Point,Boro Zone,40.8126008,-73.8840247,"(40.8126008, -73.8840247)",40.81,-73.9,dr72nt
127,Manhattan,Inwood,Boro Zone,40.8656555,-73.9268035,"(40.8656555, -73.9268035)",40.87,-73.9,dr72mz
128,Manhattan,Inwood Hill Park,Boro Zone,40.87227365,-73.92542709150258,"(40.87227365, -73.9254270915026)",40.87,-73.9,dr72tb
129,Queens,Jackson Heights,Boro Zone,40.755656099999996,-73.8857755,"(40.7556561, -73.8857755)",40.76,-73.9,dr5rye
130,Queens,Jamaica,Boro Zone,40.6914852,-73.8056771,"(40.6914852, -73.8056771)",40.69,-73.8,dr5x2x
131,Queens,Jamaica Estates,Boro Zone,17.992736800000003,-76.97901970000001,"(17.9927368, -76.9790197)",17.99,-77.0,d71q27
132,Queens,JFK Airport,Airports,40.642947899999996,-73.7793733748521,"(40.6429479, -73.7793733748521)",40.64,-73.8,dr5x1n
133,Brooklyn,Kensington,Boro Zone,40.6462149,-73.970694,"(40.6462149, -73.970694)",40.65,-74.0,dr5rhz
134,Queens,Kew Gardens,Boro Zone,40.7139415,-73.830742,"(40.7139415, -73.830742)",40.71,-73.8,dr5rxg
135,Queens,Kew Gardens Hills,Boro Zone,40.7385,-73.8107,"(40.7385, -73.8107)",40.74,-73.8,dr5xb2
136,Bronx,Kingsbridge Heights,Boro Zone,40.872570200000006,-73.90266190000001,"(40.8725702, -73.9026619)",40.87,-73.9,dr72w2
137,Manhattan,Kips Bay,Yellow Zone,40.7395463,-73.97708320000001,"(40.7395463, -73.9770832)",40.74,-74.0,dr5ru8
138,Queens,LaGuardia Airport,Airports,40.77550135,-73.87306047927629,"(40.77550135, -73.8730604792763)",40.77,-73.9,dr5ryy
139,Queens,Laurelton,Boro Zone,40.668518,-73.7518434,"(40.668518, -73.7518434)",40.67,-73.8,dr5x3e
140,Manhattan,Lenox Hill East,Yellow Zone,40.766539,-73.95892731588671,"(40.766539, -73.9589273158867)",40.77,-74.0,dr5rvj
141,Manhattan,Lenox Hill West,Yellow Zone,40.766539,-73.95892731588671,"(40.766539, -73.9589273158867)",40.77,-74.0,dr5rvj
142,Manhattan,Lincoln Square East,Yellow Zone,40.772523799999995,-73.9859525,"(40.7725238, -73.9859525)",40.77,-74.0,dr5ruq
143,Manhattan,Lincoln Square West,Yellow Zone,40.772523799999995,-73.9859525,"(40.7725238, -73.9859525)",40.77,-74.0,dr5ruq
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.7225414,-73.993955,"(40.7225414, -73.993955)",40.72,-74.0,dr5rsj
145,Queens,Long Island City/Hunters Point,Boro Zone,37.730537,-122.37224599999999,"(37.730537, -122.372246)",37.73,-122.4,9q8yxk
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.7490058,-73.9370491,"(40.7490058, -73.9370491)",40.75,-73.9,dr5rvd
147,Bronx,Longwood,Boro Zone,40.8173229,-73.89930290000001,"(40.8173229, -73.8993029)",40.82,-73.9,dr72nq
148,Manhattan,Lower East Side,Yellow Zone,40.7159357,-73.9868057,"(40.7159357, -73.9868057)",40.72,-74.0,dr5rsk
149,Brooklyn,Madison,Boro Zone,30.459806800000003,-83.4138978,"(30.4598068, -83.4138978)",30.46,-83.4,djktmc
150,Brooklyn,Manhattan Beach,Boro Zone,40.57667355,-73.9410673306364,"(40.57667355, -73.9410673306364)",40.58,-73.9,dr5qv6
151,Manhattan,Manhattan Valley,Yellow Zone,40.7902778,-73.9597222,"(40.7902778, -73.9597222)",40.79,-74.0,dr72j1
152,Manhattan,Manhattanville,Boro Zone,40.8158912,-73.9562747,"(40.8158912, -73.9562747)",40.82,-74.0,dr72jn
153,Manhattan,Marble Hill,Boro Zone,40.87470965,-73.9119788977053,"(40.87470965, -73.9119788977053)",40.88,-73.9,dr72w1
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.5851073,-73.8915613,"(40.5851073, -73.8915613)",40.59,-73.9,dr5qys
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.6032495,-73.9068747,"(40.6032495, -73.9068747)",40.6,-73.9,dr5qyp
156,Staten Island,Mariners Harbor,Boro Zone,40.6367701,-74.1587547,"(40.6367701, -74.1587547)",40.64,-74.2,dr5r0m
157,Queens,Maspeth,Boro Zone,40.723158000000005,-73.912637,"(40.723158, -73.912637)",40.72,-73.9,dr5rwj
158,Manhattan,Meatpacking/West Village West,Yellow Zone,39.199403000000004,-96.5925040541596,"(39.199403, -96.5925040541596)",39.2,-96.6,9ygr1b
159,Bronx,Melrose South,Boro Zone,40.824545,-73.9104143,"(40.824545, -73.9104143)",40.82,-73.9,dr72np
160,Queens,Middle Village,Boro Zone,40.7182153,-73.8786698186696,"(40.7182153, -73.8786698186696)",40.72,-73.9,dr5rwu
161,Manhattan,Midtown Center,Yellow Zone,40.758896,-73.98513,"(40.758896, -73.98513)",40.76,-74.0,dr5ru7
162,Manhattan,Midtown East,Yellow Zone,40.7474565,-73.9670345,"(40.7474565, -73.9670345)",40.75,-74.0,dr5ruc
163,Manhattan,Midtown North,Yellow Zone,40.7677778,-73.9913889,"(40.7677778, -73.9913889)",40.77,-74.0,dr5rum
164,Manhattan,Midtown South,Yellow Zone,40.7677778,-73.9913889,"(40.7677778, -73.9913889)",40.77,-74.0,dr5rum
165,Brooklyn,Midwood,Boro Zone,40.618882299999996,-73.96548890000001,"(40.6188823, -73.9654889)",40.62,-74.0,dr5rhf
166,Manhattan,Morningside Heights,Boro Zone,40.824545,-73.9104143,"(40.824545, -73.9104143)",40.82,-73.9,dr72np
167,Bronx,Morrisania/Melrose,Boro Zone,40.801514700000006,-73.9095811,"(40.8015147, -73.9095811)",40.8,-73.9,dr72n5
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.8489,-73.9051,"(40.8489, -73.9051)",40.85,-73.9,dr72qh
169,Bronx,Mount Hope,Boro Zone,40.7481574,-73.97875,"(40.7481574, -73.97875)",40.75,-74.0,dr5ru9
170,Manhattan,Murray Hill,Yellow Zone,40.76,-73.8130556,"(40.76, -73.8130556)",40.76,-73.8,dr5xbk
171,Queens,Murray Hill-Queens,Boro Zone,40.5731606,-74.09458599999999,"(40.5731606, -74.094586)",40.58,-74.1,dr5qcf
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.74507575,-73.8489883625343,"(40.74507575, -73.8489883625343)",40.75,-73.8,dr5rz9
173,Queens,North Corona,Boro Zone,40.8772593,-73.8768626,"(40.8772593, -73.8768626)",40.88,-73.9,dr72wc
174,Bronx,Norwood,Boro Zone,40.753991,-73.765966,"(40.753991, -73.765966)",40.76,-73.8,dr5xc7
175,Queens,Oakland Gardens,Boro Zone,40.563994,-74.11597540000001,"(40.563994, -74.1159754)",40.56,-74.1,dr5qc2
176,Staten Island,Oakwood,Boro Zone,40.67573170000001,-73.9124338,"(40.6757317, -73.9124338)",40.67,-73.9,dr5rqh
177,Brooklyn,Ocean Hill,Boro Zone,40.577115,-73.968352,"(40.577115, -73.968352)",40.58,-74.0,dr5quf
178,Brooklyn,Ocean Parkway South,Boro Zone,40.772014500000004,-73.9302673,"(40.7720145, -73.9302673)",40.77,-73.9,dr5rvw
179,Queens,Old Astoria,Boro Zone,40.67677,-73.84374609999999,"(40.67677, -73.8437461)",40.67,-73.8,dr5rrs
180,Queens,Ozone Park,Boro Zone,40.6701033,-73.9859723,"(40.6701033, -73.9859723)",40.67,-74.0,dr5rk7
181,Brooklyn,Park Slope,Boro Zone,40.8389893,-73.8604128,"(40.8389893, -73.8604128)",40.84,-73.9,dr72r6
182,Bronx,Parkchester,Boro Zone,40.85055560000001,-73.83333329999999,"(40.8505556, -73.8333333)",40.85,-73.8,dr72ru
183,Bronx,Pelham Bay,Boro Zone,40.85413105,-73.8221733014434,"(40.85413105, -73.8221733014434)",40.86,-73.8,dr782j
